ref;year;month;pkd;opd;pke;ope;ctrd
c4;2014;7;45.44;41.92;1586.00;11953.00;70.00
c4;2014;8;40.64;49.92;1881.00;12307.00;70.00
c4;2014;9;61.12;74.88;2567.00;14864.00;70.00
c4;2014;10;66.88;72.32;2348.00;13998.00;70.00
c4;2014;11;87.36;106.56;3115.00;18993.00;70.00
c4;2014;12;83.52;105.60;3038.00;20643.00;70.00
c4;2015;1;73.28;105.28;1497.00;14781.00;70.00
c4;2015;2;NA;NA;NA;NA;70.00
c4;2015;3;NA;NA;NA;NA;70.00
c4;2015;4;66.56;87.36;5128.00;32779.00;85.00
c4;2015;5;50.56;70.72;2431.00;15022.00;85.00
c4;2015;6;57.28;63.36;2265.00;13706.00;85.00
c4;2015;7;41.60;40.00;1430.00;10397.00;85.00
c4;2015;8;35.52;38.72;1651.00;11816.00;85.00
c4;2015;9;42.88;67.20;1427.00;11679.00;85.00
c4;2015;10;70.08;85.76;2214.00;13646.00;85.00
c4;2015;11;84.48;112.96;3102.00;20819.00;85.00
c4;2015;12;103.36;105.28;2518.00;20154.00;85.00
c4;2016;1;33.60;50.24;1207.00;11155.00;85.00
c4;2016;2;98.88;128.32;3561.00;25403.00;85.00
c4;2016;3;104.32;120.64;3854.00;22686.00;85.00
c4;2016;4;125.12;132.16;4557.00;28634.00;85.00
c4;2016;5;106.56;136.64;3171.00;17750.00;85.00
c4;2016;6;62.40;54.08;2748.00;16396.00;85.00
c4;2016;7;56.00;52.80;1996.00;13682.00;85.00
c4;2016;8;59.52;50.56;2726.00;14965.00;85.00
c4;2016;9;69.44;57.60;2923.00;16525.00;85.00
c4;2016;10;85.44;121.60;2840.00;17146.00;85.00
c4;2016;11;96.00;99.84;3297.00;20428.00;85.00
c4;2016;12;99.84;110.72;2937.00;20651.00;85.00
c4;2017;1;31.68;68.16;1336.00;14608.00;85.00
c4;2017;2;120.96;144.00;3438.00;22798.00;110.00
c4;2017;3;128.96;123.52;5246.00;24425.00;110.00
c4;2017;4;111.68;94.72;3810.00;19627.00;110.00
c4;2017;5;85.76;84.48;3372.00;17407.00;110.00
c4;2017;6;73.92;75.84;3057.00;16807.00;110.00
c4;2017;7;60.80;70.08;1793.00;11926.00;110.00
c4;2017;8;75.84;65.92;3653.00;17841.00;110.00
c4;2017;9;100.48;116.16;3880.00;19989.00;110.00
c4;2017;10;100.48;102.08;3666.00;19574.00;110.00
c4;2017;11;125.12;125.12;3694.00;22291.00;110.00
c4;2017;12;119.36;125.76;3052.00;22519.00;110.00
c4;2018;1;97.60;103.04;3444.00;19789.00;110.00
c4;2018;2;93.44;95.68;3274.80;18277.20;110.00
c4;2018;3;139.20;134.40;6287.68;28305.04;110.00
c4;2018;4;128.64;114.24;5320.64;25578.64;110.00
c4;2018;5;116.80;108.16;3917.68;19210.40;110.00
c4;2018;6;55.68;49.60;2311.60;13773.84;110.00
c4;2018;7;101.12;100.80;3691.20;19922.88;110.00
c4;2018;8;65.28;56.64;3832.20;18372.72;110.00
c4;2018;9;82.08;85.44;3271.80;17652.48;110.00
c4;2018;10;95.52;106.56;3812.88;19649.04;110.00
c4;2018;11;107.52;109.92;3450.84;20510.88;110.00
c4;2018;12;96.96;121.92;3211.80;22933.80;110.00
c4;2019;1;24.96;58.08;1130.76;12309.00;110.00
c4;2019;2;127.68;113.76;3112.92;21059.88;110.00
c4;2019;3;149.76;117.60;4532.28;20111.88;110.00
c4;2019;4;124.80;118.08;4707.96;22318.20;110.00
c4;2019;5;104.16;102.24;3613.32;18081.12;110.00
c4;2019;6;72.96;81.12;2715.96;15835.44;110.00
c4;2019;7;59.04;55.20;1971.00;12578.16;110.00
c4;2019;8;73.92;53.76;2987.16;15421.68;110.00
c4;2019;9;78.24;76.32;3287.16;18086.88;110.00
c4;2019;10;89.76;91.20;3427.68;17836.32;110.00
c4;2019;11;106.08;122.88;3937.92;21709.68;110.00
c4;2019;12;87.84;113.28;2986.20;17477.16;110.00
c4;2020;1;25.92;45.12;995.04;10356.48;110.00
c4;2020;2;150.72;129.60;3353.64;18986.52;110.00
c4;2020;3;125.28;138.24;3536.76;16983.00;110.00
c4;2020;4;19.68;27.36;886.08;7062.00;110.00
c4;2020;5;18.24;35.52;752.00;6849.00;110.00
c4;2020;6;14.88;18.72;750.00;6374.00;110.00
c4;2020;7;21.12;31.68;976.00;6896.00;110.00
c4;2020;8;20.16;29.76;1040.00;7825.00;110.00
c4;2020;9;19.20;46.56;1077.00;7701.00;110.00
c4;2020;10;19.68;129.12;965.00;7628.00;110.00
c4;2020;11;NA;NA;NA;NA;NA
c4;2020;12;NA;NA;NA;NA;NA
c5;2014;1;NA;NA;NA;NA;NA
c5;2014;2;NA;NA;NA;NA;NA
c5;2014;3;106.18;93.07;4146.00;16274.00;70.00
c5;2014;4;92.74;81.31;3739.00;15888.00;70.00
c5;2014;5;67.20;63.17;3317.00;14978.00;70.00
c5;2014;6;61.15;59.14;2763.00;14077.00;70.00
c5;2014;7;63.84;55.78;2169.00;12585.00;70.00
c5;2014;8;68.88;74.93;3251.00;14566.00;70.00
c5;2014;9;66.19;103.00;946.00;4214.00;70.00
c5;2014;10;101.81;84.67;3741.00;15627.00;70.00
c5;2014;11;113.90;116.93;4589.00;20203.00;70.00
c5;2014;12;117.94;118.61;3422.00;19134.00;70.00
c5;2015;1;37.30;75.94;1222.00;15519.00;70.00
c5;2015;2;132.38;130.03;4602.00;20967.00;70.00
c5;2015;3;128.35;111.55;5608.00;18853.00;70.00
c5;2015;4;108.19;94.75;3920.00;15777.00;90.00
c5;2015;5;72.58;66.86;3662.00;14685.00;90.00
c5;2015;6;72.91;69.55;3505.00;14209.00;90.00
c5;2015;7;59.14;52.42;2149.00;11489.00;90.00
c5;2015;8;37.63;38.64;1696.00;10586.00;90.00
c5;2015;9;37.97;39.98;1494.00;10447.00;90.00
c5;2015;10;99.46;76.27;2602.00;11946.00;90.00
c5;2015;11;84.34;106.85;3426.00;14556.00;90.00
c5;2015;12;104.83;116.93;3109.00;16086.00;90.00
c5;2016;1;117.94;126.67;1945.00;12810.00;90.00
c5;2016;2;137.09;136.42;5786.00;23350.00;90.00
c5;2016;3;131.71;108.53;4808.00;18398.00;90.00
c5;2016;4;149.52;172.70;5639.00;20884.00;90.00
c5;2016;5;115.92;100.80;3742.00;14373.00;90.00
c5;2016;6;69.22;68.54;3547.00;14300.00;90.00
c5;2016;7;63.17;55.44;2966.00;13611.00;90.00
c5;2016;8;58.13;46.03;2344.00;11748.00;90.00
c5;2016;9;80.30;68.54;3166.00;13230.00;90.00
c5;2016;10;78.29;93.41;3047.00;13422.00;90.00
c5;2016;11;127.68;128.02;4350.00;16993.00;90.00
c5;2016;12;143.47;153.55;3590.00;16147.00;90.00
c5;2017;1;29.57;89.38;1018.00;13465.00;130.00
c5;2017;2;160.27;151.54;4459.00;20326.00;130.00
c5;2017;3;146.16;127.01;5987.00;22392.00;130.00
c5;2017;4;113.90;134.06;4149.00;17321.00;130.00
c5;2017;5;97.78;87.36;3884.00;15856.00;130.00
c5;2017;6;93.07;82.99;3356.00;14319.00;130.00
c5;2017;7;51.07;49.06;1756.00;10805.00;130.00
c5;2017;8;71.57;62.83;3280.00;14051.00;130.00
c5;2017;9;96.10;106.85;3778.00;15806.00;130.00
c5;2017;10;112.90;113.90;3831.00;15443.00;130.00
c5;2017;11;128.69;125.33;3690.00;12040.00;130.00
c5;2017;12;107.52;111.55;3645.00;13847.00;130.00
c5;2018;1;34.61;51.41;924.00;7246.00;130.00
c5;2018;2;130.03;104.49;1924.52;10065.79;130.00
c5;2018;3;130.70;135.74;5477.89;18564.25;130.00
c5;2018;4;123.64;109.87;5245.88;16899.28;130.00
c5;2018;5;128.01;110.20;4530.96;14111.83;130.00
c5;2018;6;62.83;57.45;2577.28;10474.88;130.00
c5;2018;7;61.48;48.72;2211.72;9326.60;130.00
c5;2018;8;55.44;48.38;2910.43;11264.40;130.00
c5;2018;9;82.32;59.47;2939.58;10870.18;130.00
c5;2018;10;107.85;106.84;3657.02;12935.83;130.00
c5;2018;11;103.82;113.23;3441.64;11788.64;130.00
c5;2018;12;126.00;133.72;3658.45;14433.97;130.00
c5;2019;1;24.19;68.20;997.66;8660.73;130.00
c5;2019;2;112.56;119.28;3017.02;13855.54;130.00
c5;2019;3;126.33;121.96;4284.50;15052.38;130.00
c5;2019;4;124.65;119.28;4727.52;15891.96;130.00
c5;2019;5;119.28;112.89;3828.88;13577.50;130.00
c5;2019;6;74.92;63.84;2656.58;10030.18;130.00
c5;2019;7;57.79;52.75;1884.70;8207.89;130.00
c5;2019;8;49.72;47.04;2367.20;9211.27;130.00
c5;2019;9;77.61;65.85;2825.84;10847.42;130.00
c5;2019;10;101.47;96.76;3548.49;11205.26;130.00
c5;2019;11;120.96;115.24;4161.78;15289.68;130.00
c5;2019;12;111.21;103.82;3694.32;12993.20;130.00
c5;2020;1;29.56;75.60;1066.96;8800.84;130.00
c5;2020;2;150.86;131.04;3534.88;14929.74;130.00
c5;2020;3;134.40;124.65;3783.69;12624.78;130.00
c5;2020;4;16.46;15.45;736.93;4088.19;130.00
c5;2020;5;28.56;29.23;781.00;4982.00;130.00
c5;2020;6;15.45;45.36;803.00;4822.00;130.00
c5;2020;7;18.14;37.29;816.00;4897.00;130.00
c5;2020;8;15.79;53.42;829.00;5513.00;130.00
c5;2020;9;17.47;87.36;825.00;5020.00;130.00
c5;2020;10;23.18;34.60;821.00;5277.00;130.00
c5;2020;11;NA;NA;NA;NA;NA
c5;2020;12;NA;NA;NA;NA;NA
c6;2014;1;NA;NA;NA;NA;NA
c6;2014;2;NA;NA;NA;NA;NA
c6;2014;3;40.70;43.78;1892.00;11044.00;80.00
c6;2014;4;NA;NA;NA;NA;NA
c6;2014;5;NA;NA;NA;NA;NA
c6;2014;6;NA;NA;NA;NA;NA
c6;2014;7;NA;NA;NA;NA;NA
c6;2014;8;76.80;71.42;3246.00;16089.00;80.00
c6;2014;9;62.21;58.37;2802.00;15810.00;80.00
c6;2014;10;69.89;54.53;2308.00;13535.00;80.00
c6;2014;11;49.92;58.37;2303.00;14526.00;80.00
c6;2014;12;44.54;54.53;1681.00;13355.00;80.00
c6;2015;1;22.27;38.40;927.00;10114.00;80.00
c6;2015;2;NA;NA;NA;NA;NA
c6;2015;3;NA;NA;NA;NA;NA
c6;2015;4;49.15;52.22;2109.00;12060.00;80.00
c6;2015;5;60.67;50.69;2745.00;13484.00;80.00
c6;2015;6;65.28;69.12;2789.00;14480.00;80.00
c6;2015;7;56.06;62.21;1972.00;13658.00;80.00
c6;2015;8;55.30;61.44;2735.00;14304.00;80.00
c6;2015;9;58.37;64.51;2603.00;13974.00;80.00
c6;2015;10;52.99;55.30;2446.00;13560.00;80.00
c6;2015;11;64.51;63.74;2479.00;13350.00;80.00
c6;2015;12;66.82;55.30;2289.00;14117.00;80.00
c6;2016;1;31.49;30.72;1127.00;10284.00;80.00
c6;2016;2;81.41;95.23;2515.00;15117.00;80.00
c6;2016;3;80.64;69.12;3219.00;15884.00;80.00
c6;2016;4;72.19;69.89;3141.00;17071.00;80.00
c6;2016;5;74.50;62.21;3880.00;18121.00;80.00
c6;2016;6;86.02;80.64;4174.00;19314.00;80.00
c6;2016;7;68.35;58.37;2518.00;14275.00;80.00
c6;2016;8;76.03;72.96;3754.00;17511.00;80.00
c6;2016;9;56.83;53.76;2976.00;15690.00;80.00
c6;2016;10;54.53;52.99;2412.00;13605.00;80.00
c6;2016;11;57.60;49.92;2194.00;13254.00;80.00
c6;2016;12;47.62;58.37;1978.00;12468.00;80.00
c6;2017;1;28.42;49.15;1011.00;10932.00;80.00
c6;2017;2;72.96;81.41;2133.00;13502.00;80.00
c6;2017;3;79.87;76.80;3433.00;16772.00;80.00
c6;2017;4;63.74;58.37;3007.00;15986.00;80.00
c6;2017;5;71.42;67.58;3627.00;17547.00;80.00
c6;2017;6;72.19;65.28;3618.00;18562.00;80.00
c6;2017;7;64.51;55.30;2849.00;15003.00;80.00
c6;2017;8;76.80;69.12;3729.00;16671.00;80.00
c6;2017;9;66.05;55.30;3379.00;15681.00;80.00
c6;2017;10;64.51;49.92;3130.00;15278.00;80.00
c6;2017;11;65.28;63.74;2939.00;15522.00;80.00
c6;2017;12;72.96;63.74;2544.00;14960.00;80.00
c6;2018;1;29.18;34.56;903.00;9729.00;80.00
c6;2018;2;66.04;69.88;1578.43;11572.80;80.00
c6;2018;3;69.88;77.56;3697.72;18373.05;80.00
c6;2018;4;66.81;60.67;3454.46;16369.53;80.00
c6;2018;5;68.35;64.51;3428.35;16613.18;80.00
c6;2018;6;81.40;73.72;3515.13;18889.34;80.00
c6;2018;7;62.97;63.74;2856.57;16463.80;80.00
c6;2018;8;75.26;75.26;3811.20;18722.49;80.00
c6;2018;9;66.81;60.67;3344.06;18370.36;80.00
c6;2018;10;64.51;61.44;3318.33;16963.00;80.00
c6;2018;11;71.42;65.28;2953.34;16532.35;80.00
c6;2018;12;65.28;72.96;2689.92;16119.74;80.00
c6;2019;1;26.88;40.70;1030.46;11313.40;80.00
c6;2019;2;67.58;70.65;2070.91;14451.64;80.00
c6;2019;3;63.74;76.03;2737.53;13719.74;80.00
c6;2019;4;63.74;69.12;3177.21;15739.00;80.00
c6;2019;5;65.28;56.06;3240.19;15196.60;80.00
c6;2019;6;61.44;58.36;2973.12;16133.56;80.00
c6;2019;7;66.04;69.12;2893.24;15721.53;80.00
c6;2019;8;79.10;66.81;3438.14;17026.94;80.00
c6;2019;9;73.72;72.96;3636.67;16980.28;80.00
c6;2019;10;61.44;68.35;3418.56;16729.53;80.00
c6;2019;11;62.97;59.90;2885.37;15959.42;80.00
c6;2019;12;65.28;58.36;2717.76;14993.47;80.00
c6;2020;1;26.11;32.25;1098.81;11009.66;80.00
c6;2020;2;82.17;102.14;2258.30;15743.04;80.00
c6;2020;3;66.04;76.80;2464.12;14449.72;80.00
c6;2020;4;26.11;26.11;1219.58;9464.44;80.00
c6;2020;5;23.80;24.57;1029.50;8886.33;80.00
c6;2020;6;26.88;26.88;1247.00;9167.00;80.00
c6;2020;7;26.11;29.18;1073.00;8164.00;80.00
c6;2020;8;23.80;23.04;1005.00;8471.00;80.00
c6;2020;9;23.80;23.80;1071.00;8057.00;80.00
c6;2020;10;25.34;28.41;967.00;8053.00;80.00
c6;2020;11;NA;NA;NA;NA;NA
c6;2020;12;NA;NA;NA;NA;NA
